Corresponding USGS gauge number,09072500,09095500,09109000,09124700,09127800,09152500,09180000,09180500,09211200,09217000,09234500,09251000,09260000,09302000,09306500,09315000,09328500,09355500,09379500,09380000,,09382000,09402000,09402500,09415000,09421500,09423000,09426000,09427520,09429490,,,,,,,,,,
USGS gauge name,"Colorado River At Glenwood Springs, CO","Colorado River Near Cameo, CO","Taylor River Below Taylor Park Reservoir, CO","Gunnision River Above Blue Mesa Reservoir,CO","Gunnison River At Crystal Reservoir,CO","Gunnison River Near Grand Junction, CO","Dolores River Near Cisco, UT",Colorado River Near Cisco UT,Green R Bel Fontenelle Res WY,"Green R. Nr Green River, WyY","Green River Near Greendale, UT","Yampa River Near Maybell, CO\","Little Snake River Near Lily, CO","Duchesne River Near Randlett, UT","White River Near Watson, UT","Green River At Green River, UT","San Rafael River Near Green River, UT","San Juan River Near Archuleta,NM","San Juan River Near Bluff, UT","Colorado R At Lees Ferry, AZ",,"Paria R At Lees Ferry, AZ","Little Colorado River Near Cameron, AZ","Colorado River Near Grand Canyon, AZ","Virgin River At Littlefield, AZ","Colorado River Below Hoover Dam, AZ-NV","Colorado River Below Davis Dam, AZ-NV","Bill Williams River Below Alamo Dam, AZ","Colorado River Below Parker Dam, AZ-CA","Colorado River Above Imperial Dam, AZ",,,,,,,,,,
,(ac-ft/month),(ac-ft/month),(ac-ft/month),(ac-ft/month),(ac-ft/month),(ac-ft/month),(ac-ft/month),(ac-ft/month),(ac-ft/month),(ac-ft/month),(ac-ft/month),(ac-ft/month),(ac-ft/month),(ac-ft/month),(ac-ft/month),(ac-ft/month),(ac-ft/month),(ac-ft/month),(ac-ft/month),(ac-ft/month),,(ac-ft/month),(ac-ft/month),(ac-ft/month),(ac-ft/month),(ac-ft/month),(ac-ft/month),(ac-ft/month),(ac-ft/month),(ac-ft/month),,,,,,,,,,
Date,UpperColoradoReach.Inflow,ColoRAbv09095500:GainsAbvCameo.Local Inflow,TaylorRiver.Inflow,TaylorAboveBlueMesa:GainsAboveBlueMesa.Local Inflow,GunnisonRiverAboveCrystal:GainsAboveCrystal.Local Inflow,GunnisonRiverAboveGrandJunction:GainsGunnisonRiverAbvGrandJunction.Local Inflow,DoloresRiver.Inflow,GrandValleyReach:GainsAboveCisco.Local Inflow,GreenRAboveGage09211200.Inflow,Gage09211200ToGage09217000:GainsAbv09217000.Local Inflow,Gage09217000ToGage09234500:GainsAbv09234500.Local Inflow,YampaRAbv09251000.Inflow,LittleSnakeRAbv09260000.Inflow,DuchesneAbv09302000.Inflow,WhiteRiverAbv09306500.Inflow,GreenRAbvGage09315000:GainsAbvGreenRUtah.Local Inflow,SanRafaelRiver.Inflow,SJAboveNavajo.Inflow,SJBelowNavajo:GainsAboveBluff.Local Inflow,ColoradoRAbvPowell:GainsAboveLeesFerry.Local Inflow,,CoRivPowellToVirgin:PariaGains.LocalInflow,CoRivPowellToVirgin:LittleCoR.LocalInflow,CoRivPowellToVirgin:GainsAboveGC.LocalInflow,VirginRiver.Inflow,CoRivVirginToMead:GainsAboveHoover.LocalInflow,CoRivMeadToMohave:GainsAboveDavis.LocalInflow,CoRivMohaveToHavasu:BillWilliamsRiver.LocalInflow,CoRivMohaveToHavasu:GainsAboveParker.LocalInflow,AboveImperialDamColoradoR:GainsOnColoRAboveImperialDam.LocalInflow,,,,,,,,,,
1/05,"53,636","44,254","4,593","16,969","6,127","40,986","19,379","17,094","34,513","3,676","13,069","27,188","14,072","39,841","30,510","40,591","7,751","50,940","73,744","138,477",,"8,531","74,731","17,835","143,107","160,268",-624,"98,731","38,428","-5,041",,,,,,,,,,
2/05,"38,716","33,256","3,697","14,938","7,196","29,487","23,412","6,946","26,327","4,260","16,825","22,613","18,627","34,076","19,558","30,675","7,402","68,746","89,198","74,921",,"3,769","103,351","18,454","53,369","140,740","-2,156","161,877","12,717","-10,520",,,,,,,,,,
3/05,"49,930","40,259","3,551","22,299","10,177","39,671","52,119",-394,"62,645","13,391","58,715","37,151","20,096","42,161","23,474","27,438","5,306","86,965","64,253","67,631",,"3,404","44,769","20,931","42,897","64,648","-14,122","187,307","-18,562","-50,993",,,,,,,,,,
4/05,"135,749","96,011","7,471","57,935","23,505","176,812","260,177","-47,040","118,963","1,339","60,278","159,809","49,943","66,378","38,417","14,683","5,400","309,781","163,684","32,531",,"2,749","23,111","65,042","69,582","20,042","-20,976","6,625","10,107","-24,747",,,,,,,,,,
5/05,"445,390","351,886","25,783","181,997","55,101","405,466","357,272","45,040","237,082","-5,064","163,374","415,713","143,738","318,099","103,121","121,786","41,358","488,382","273,199","-146,745",,"2,085","3,034","62,021","132,952","3,621","-22,791","3,253","7,255","-37,477",,,,,,,,,,
6/05,"552,288","442,936","34,787","207,691","41,097","262,421","174,154","24,303","360,501","22,591","104,781","392,731","120,492","381,860","133,035","271,632","84,832","347,501","216,824","40,867",,823,6,"11,111","47,702","-16,170","-17,710","3,897","6,814","-43,755",,,,,,,,,,
7/05,"262,525","233,181","15,610","95,803","14,525","125,036","72,164","2,443","229,490","15,340","65,772","111,484","34,694","140,947","60,503","119,431","14,171","100,520","102,798","108,642",,237,167,"20,620","11,931","12,505","-14,994","3,072","7,046","-53,587",,,,,,,,,,
8/05,"122,544","102,723","8,109","53,535","8,202","64,004","38,332","-23,822","85,951","3,692","43,294","35,036","13,157","73,863","33,423","32,753","6,100","42,452","55,352","77,500",,"2,192","15,795","10,377","15,894","30,517","-12,307","3,437","27,861","1,597",,,,,,,,,,
9/05,"67,242","73,027","5,458","24,386","8,587","38,705","21,319","-24,110","44,654","2,888","15,798","18,462","7,003","43,480","24,389","23,158","7,474","41,015","16,642","37,647",,275,827,"37,258","7,470","21,752","-4,354","3,672","2,462","-8,659",,,,,,,,,,
10/05,"83,705","89,278","7,239","36,036","12,342","69,993","27,374","-10,436","40,014","6,384","11,111","23,462","7,584","34,811","31,055","23,431","7,875","89,256","66,666","77,604",,"1,958","1,159","27,943","12,218","7,819","17,675","12,240","10,141",-187,,,,,,,,,,
11/05,"67,529","72,303","4,821","22,526","5,558","59,627","14,435","-4,042","34,268","5,998",738,"24,066","6,754","33,054","25,580","36,450","4,670","27,850","28,577","39,532",,"1,478",0,"19,447","12,964","-4,389","-22,937","1,001","25,405","-1,965",,,,,,,,,,
12/05,"58,146","48,409","4,415","21,007","6,285","38,672","9,871","7,317","26,397","9,325",-880,"21,210","6,773","33,940","28,401","-14,867","4,587","15,558","22,545","55,880",,"1,289",0,"2,677","15,743","-4,225","-6,219","2,655","28,435","24,490",,,,,,,,,,
1/06,"56,707","41,935","4,706","20,340","6,256","33,052","10,169","4,466","32,680","8,269","4,753","18,955","6,063","33,200","27,984","2,495","5,076","12,996","22,031","67,926",,"1,065",0,"21,546","15,604","-3,384","-24,903","1,767","3,362","-26,863",,,,,,,,,,
2/06,"46,167","33,077","3,471","18,064","5,445","26,131","9,856","3,052","27,424","7,340","4,434","15,493","4,871","29,895","22,181","9,901","4,158","11,390","17,465","54,476",,"1,277",0,"19,152","15,360","-4,793","-9,253","1,749","9,346","-23,704",,,,,,,,,,
3/06,"65,494","48,777","3,912","32,481","6,261","35,712","17,637","2,395","40,129","7,302","26,185","36,202","6,833","41,459","28,852","37,994","4,491","25,475","19,811","60,320",,"2,237",332,"46,621","24,323","-5,787","-17,224","17,813","6,635","-31,324",,,,,,,,,,
4/06,"213,179","132,418","10,035","94,266","33,925","140,893","101,761","-26,113","100,069","5,505","45,022","285,388","66,932","70,743","59,472","-24,103","10,931","121,369","52,093","15,937",,"1,426",3,"32,329","26,694","-21,098","-23,669","2,770","11,724","-32,079",,,,,,,,,,
5/06,"567,695","367,194","27,601","196,132","61,754","167,344","122,824","-30,269","233,333","3,371","95,368","451,625","136,820","203,409","136,863","17,040","65,636","189,015","111,017","43,263",,346,0,"33,928","17,387","-34,452","2,174","2,496","-6,895","-45,912",,,,,,,,,,
6/06,"484,976","338,403","23,643","143,142","36,481","91,968","64,317","-47,994","250,034","3,108","44,727","248,240","54,047","169,776","92,770","135,020","55,138","70,268","77,495","125,756",,395,34,"14,249","5,583","-21,841","2,143","2,656","-15,171","-48,335",,,,,,,,,,
7/06,"218,626","128,828","11,844","74,410","16,517","61,809","50,662","-27,078","128,497","8,868","25,383","66,324","14,912","83,623","44,101","69,153","25,784","42,531","58,748","61,492",,591,"5,773","14,859","6,979","-20,035","2,314","3,151","1,405","-53,136",,,,,,,,,,
8/06,"112,764","74,875","8,747","58,477","14,779","57,576","47,235","-37,495","63,046","-3,173","17,319","31,045","9,189","40,110","30,487","37,218","16,832","74,775","77,544","67,179",,"1,420","59,322","5,704","8,621","-1,881",42,"2,655","1,072","-31,643",,,,,,,,,,
9/06,"80,753","65,470","8,052","35,981","10,825","51,809","28,596","-40,468","36,567","-2,755","10,638","20,674","8,882","26,046","24,045","10,427","4,644","57,204","45,113","59,530",,"1,297","11,753","37,826","7,166","-13,023",251,"2,773","2,344","-33,159",,,,,,,,,,
10/06,"92,824","92,967","10,109","53,164","17,073","105,060","82,214","2,770","35,165","4,241","20,026","44,772","12,480","38,783","39,523","75,024","29,413","163,364","180,041","433,729",,"9,489","26,412","33,857","12,962","27,329","19,242","2,505","13,588","2,972",,,,,,,,,,
11/06,"70,470","57,217","6,264","30,119","12,149","59,195","22,172","3,173","34,614","4,524","9,812","30,502","9,115","27,564","27,494","31,310","8,133","41,216","39,794","58,358",,994,111,"14,961","7,878","6,779","17,260","1,277","6,195","4,481",,,,,,,,,,
12/06,"45,843","41,397","4,886","21,347","18,475","46,516","16,263","1,344","24,943","2,380","6,903","21,227","4,995","26,138","20,458","-12,213","6,312","25,177","37,305","61,677",,936,10,"22,855","8,503","-13,121","5,550","1,299","-2,406","13,720",,,,,,,,,,
1/07,"41,363","36,376","4,082","17,040","18,014","36,235","14,896","7,529","24,346","3,285","8,326","19,219","4,558","21,658","16,200","19,098","6,118","19,620","32,664","6,807",,926,14,"22,266","8,128","-17,486","-11,794","1,425","8,276","-15,645",,,,,,,,,,
2/07,"53,193","37,521","3,460","17,618","10,299","37,423","14,971","-9,661","24,446","6,474","17,300","14,496","4,370","27,215","16,365","50,914","5,602","29,318","44,875","58,139",,"1,246","3,953","24,157","7,494","10,513","-8,907","2,166","-7,807","-38,946",,,,,,,,,,
3/07,"96,942","65,678","6,484","46,268","16,390","110,567","88,245","-33,973","61,850","7,158","59,915","105,570","45,682","38,361","37,336","48,116","6,878","123,933","52,624","20,102",,"1,059","8,159","35,409","7,553","-15,841","-18,182","2,258","13,865","-20,273",,,,,,,,,,
4/07,"149,905","91,300","8,000","59,647","21,548","129,777","102,920","-40,067","48,481","2,108","45,805","151,295","58,199","46,543","49,770","49,005","11,394","123,067","50,753","21,072",,441,808,"32,450","7,517","-21,499","-22,148","3,253","12,481","-25,251",,,,,,,,,,
5/07,"469,381","239,345","27,404","167,376","44,181","161,202","170,094","-39,930","126,989","2,205","90,884","294,593","104,768","90,126","89,989","40,357","28,645","262,438","95,103","32,081",,281,"1,232","35,299","4,532","-30,334","-23,227","1,749","11,837","-18,077",,,,,,,,,,
6/07,"441,672","279,266","29,364","155,392","34,833","115,897","113,330","-44,459","131,508","5,334","39,024","146,680","36,312","68,289","56,684","49,901","25,498","207,158","145,275","79,083",,205,0,"31,530","3,616","-32,624","-20,196","2,037","8,958","-55,883",,,,,,,,,,
7/07,"204,172","118,231","15,224","69,293","13,756","75,104","60,363","-43,062","119,692","7,118","45,162","51,263","14,846","65,054","34,472","23,053","19,186","57,155","56,634","66,711",,"1,542","13,598","30,281","6,171","-14,354","-19,286","2,262","24,019","-42,629",,,,,,,,,,
8/07,"117,410","80,928","10,311","65,918","14,066","67,062","51,664","-37,103","58,099",135,"18,418","37,085","11,397","27,206","25,253","12,297","7,966","79,170","99,719","89,664",,"5,302","53,952","32,382","10,919","7,007","-13,619","2,323","12,422","-31,806",,,,,,,,,,
9/07,"76,147","66,496","7,861","35,185","14,973","46,791","37,328","-35,548","30,537","1,716","7,681","19,779","6,570","11,371","20,475","11,061","8,556","32,391","33,532","56,015",,"1,690","2,585","29,563","11,242","2,534","-1,907","2,411","16,229","-32,158",,,,,,,,,,
10/07,"87,447","68,584","6,961","33,351","13,203","60,403","26,332","-9,497","32,977",-432,"11,274","33,110","9,185","24,871","29,139","21,072","6,215","46,860","50,589","26,092",,501,93,"20,351","10,179","1,786",147,"2,595","19,310","-4,201",,,,,,,,,,
11/07,"59,186","45,142","3,954","20,712","12,056","46,139","13,358","8,306","32,981","-1,565","5,953","23,224","7,734","15,137","20,549","27,277","4,039","16,131","28,997","34,303",,828,0,"24,718","11,504","22,127","-4,231","1,594","15,542","13,124",,,,,,,,,,
12/07,"55,272","53,570","4,969","21,635","13,678","40,199","13,565","-5,940","27,707","-3,807","1,737","14,918","6,333","19,423","15,195","14,285","3,526","44,675","42,208","50,246",,"1,824","25,818","29,878","16,548","10,606","-11,664","1,510","18,454","9,940",,,,,,,,,,
1/08,"52,725","43,597","4,899","19,342","15,249","32,622","12,920","-15,105","22,693","3,092","3,184","14,590","6,199","23,138","15,000","-25,804","4,530","27,724","44,947","86,797",,"1,778","18,531","21,938","15,445","13,428","-18,152","1,605","12,323","-3,254",,,,,,,,,,
2/08,"45,201","44,488","4,176","17,292","13,605","38,453","13,248","15,118","21,725","4,311","11,862","18,661","7,388","24,299","14,754",-425,"4,576","41,414","54,691","82,981",,"4,109","61,410","25,125","11,927","30,413","-4,146","1,996",551,"-46,173",,,,,,,,,,
3/08,"56,956","43,165","3,949","26,450","12,347","55,593","42,425","5,084","29,940","8,121","26,230","34,478","17,387","31,574","22,562","61,892","6,340","154,848","67,131","41,185",,"1,972","60,218","20,183","10,179",-267,"-16,425","4,111","-1,905","-39,131",,,,,,,,,,
4/08,"119,351","74,655","6,689","94,906","29,543","159,860","209,024","-53,158","51,398","5,784","41,249","163,017","39,232","32,542","35,347","-11,642","1,637","258,399","77,514","6,057",,871,"15,139","13,781","9,112","-14,842","-10,325","2,049","9,395","-39,445",,,,,,,,,,
5/08,"570,400","341,025","34,680","287,202","88,658","356,372","256,629","-23,110","136,705","-1,920","82,217","559,722","227,596","114,320","110,746","-95,413","23,373","348,985","125,128","-47,752",,296,9,"20,124","7,538","5,609","-30,356","2,134","11,475","-9,828",,,,,,,,,,
6/08,"848,102","649,011","65,451","355,086","91,666","293,676","206,836","34,237","264,072","5,363","114,613","546,692","221,422","152,853","159,601","68,871","49,428","332,357","202,253","79,670",,185,0,"13,302","4,404","10,647","-19,462","2,328","1,836","-58,380",,,,,,,,,,
7/08,"384,445","355,377","29,016","153,794","33,474","124,447","84,944","-17,281","235,370","17,048","52,719","153,235","50,544","74,326","72,116","92,831","22,085","101,725","113,777","80,886",,615,"9,265","18,880","6,387","-8,958","-10,459","3,057","9,038","-33,816",,,,,,,,,,
8/08,"168,770","113,648","12,085","71,186","13,952","62,247","44,160","-16,566","64,766","9,554","35,412","52,754","14,470","21,975","36,979","12,645","11,520","46,749","44,327","54,944",,"2,222","9,768","27,282","6,799","10,622","-10,786","3,004","22,220","-14,164",,,,,,,,,,
9/08,"97,551","63,152","7,583","32,400","7,231","44,515","30,184","-15,674","36,369","2,559","21,287","26,473","10,103","26,441","25,942","5,739","3,465","44,806","28,142","-8,545",,557,"5,958","32,162","4,836","16,153","1,655","2,839","10,889","-18,758",,,,,,,,,,
10/08,"73,621","62,706","6,617","27,099","4,597","47,462","18,642","-11,038","38,128","6,269","9,480","19,420","7,272","31,890","28,502","18,377","4,184","28,284","31,397","-9,395",,464,0,"34,445","8,167","1,539","-3,837","2,061","18,360","3,558",,,,,,,,,,
11/08,"65,132","54,408","4,833","22,667","6,002","47,223","10,897","10,615","38,758","2,151","11,010","19,480","8,349","20,106","25,288","19,538","4,928","19,611","26,247","18,240",,"1,108",133,"40,709","8,646","19,115","-10,307","1,606","27,289","5,787",,,,,,,,,,
12/08,"54,415","49,415","5,226","22,407","7,159","35,591","10,259","8,406","27,270","3,309","-6,093","16,607","6,443","18,455","21,467","-12,218","3,596","18,835","23,680","34,044",,856,698,"22,445","9,925","12,126","-10,747","1,554","22,362","43,618",,,,,,,,,,
1/09,"55,614","45,260","4,772","21,708","7,285","35,109","10,293",-39,"32,278","1,974","10,898","19,015","7,257","21,845","16,899","20,038","4,345","22,194","23,028","41,073",,"1,478","2,090","30,547","9,527","-4,547","-15,921","1,560","1,600","-25,251",,,,,,,,,,
2/09,"55,012","38,761","4,127","19,413","6,468","30,343","11,302","8,498","25,785","2,529","13,931","20,139","10,887","22,042","24,085","9,313","4,409","26,478","20,229","42,562",,"1,367","5,279","31,833","8,525","20,969","-10,053","7,813","6,365","-21,336",,,,,,,,,,
3/09,"45,385","50,683","4,472","35,301","9,679","40,845","28,194","14,977","43,804","-1,187","25,901","51,173","23,265","23,488","28,428","1,724","4,630","74,506","28,449","37,410",,"1,091","36,353","36,599","8,137","-30,815","-16,518","3,618","6,222","-49,188",,,,,,,,,,
4/09,"181,210","95,289","11,158","93,920","34,178","118,262","108,136","-10,444","89,356",159,"54,331","197,269","84,020","46,877","37,450","-67,885","6,560","131,626","48,495","-38,115",,623,"2,173","40,284","9,487","-24,777","-17,859","2,285","11,896","-34,138",,,,,,,,,,
5/09,"726,995","376,280","46,064","303,601","101,768","310,394","223,364","-10,830","163,692","2,786","121,366","523,587","256,151","164,921","139,208","-1,530","39,258","368,079","238,213","7,494",,493,"4,030","46,650","9,070",655,"-13,174","3,644","15,993","-13,003",,,,,,,,,,
6/09,"721,231","391,765","36,995","200,554","46,420","167,650","96,571","-23,978","516,145","3,199","79,979","370,853","175,269","137,995","113,803","67,017","33,659","155,997","105,888","35,466",,283,4,"35,257","4,961","-33,075","-14,177","3,134","16,777","-27,437",,,,,,,,,,
7/09,"319,105","266,676","15,711","91,673","20,617","94,337","50,577","18,899","309,982","26,440","55,395","125,490","45,719","96,096","58,369","99,551","13,724","55,768","52,917","37,440",,"1,123","1,245","25,796","4,493","-34,758","-7,610","2,894","14,410","-32,685",,,,,,,,,,
8/09,"141,151","99,185","7,145","44,951","9,956","46,479","34,324","-9,962","99,732","6,428","27,987","53,692","14,588","20,335","29,074","23,689","7,150","9,633","9,308","-30,639",,652,16,"22,935","4,309","-8,297","-15,400","2,808","21,803","-42,956",,,,,,,,,,
9/09,"63,060","66,030","6,229","25,405","9,740","42,050","27,302","-10,312","48,990","8,767","9,382","35,089","11,324","14,849","22,769","14,790","7,437","16,051","11,496","-13,557",,660,"2,121","25,583","5,309","4,319",452,"3,148","17,555","-26,726",,,,,,,,,,
10/09,"69,263","73,108","6,730","26,512","9,517","38,263","24,849","-9,114","45,394","2,374","2,340","22,036","10,745","21,487","27,640","23,543","5,978","14,041","1,750","-40,006",,346,0,"24,446","6,228","-11,115","-8,088","2,529","14,831","1,756",,,,,,,,,,
11/09,"55,624","57,908","4,703","22,288","5,388","52,232","9,971","7,460","39,845","2,237","5,924","20,414","8,913","16,475","23,920","27,320","4,567","13,925","20,925","4,076",,821,0,"22,187","8,120","3,166","-12,984","1,410","30,009",607,,,,,,,,,,
12/09,"47,106","39,343","3,881","16,859","6,387","32,971","6,579","-16,479","25,154",-247,"-1,367","13,737","5,505","18,728","13,566",-298,"3,818","11,732","20,662","22,672",,681,241,"18,516","10,524",-524,"-20,606","1,443","23,565","13,134",,,,,,,,,,
1/10,"53,929","37,105","4,220","18,059","6,237","34,435","6,355","-21,290","22,669","4,999","4,911","12,054","5,141","20,975","18,444","-1,165","4,618","14,122","33,322","102,298",,"1,644","14,591","25,021","10,455","42,780","-16,108","1,548","40,026","17,924",,,,,,,,,,
2/10,"50,010","30,499","3,553","18,091","5,341","28,224","6,930","-5,732","20,902","5,091","9,482","12,293","4,460","22,023","20,110","-10,913","4,203","15,655","29,000","104,793",,"2,430","2,708","30,029","12,002","45,445","-6,168","3,917","4,827","-43,965",,,,,,,,,,
3/10,"60,006","39,387","4,358","24,377","6,123","37,221","15,031","21,978","42,309","4,545","25,231","22,287","10,192","33,182","30,135","67,489","10,978","61,901","41,249","66,895",,"4,167","36,591","18,646","17,988","-3,328","-21,362","47,069","7,976","-49,847",,,,,,,,,,
4/10,"134,736","97,273","10,700","85,674","30,955","130,035","178,786","7,057","64,296",467,"48,459","131,943","71,355","36,189","43,511","-21,887","7,326","225,585","71,020","-32,561",,"2,079","64,760","21,861","26,741","8,135","-21,035","8,014","26,024","-24,449",,,,,,,,,,
5/10,"398,443","200,577","21,834","126,784","48,899","173,913","185,028","-30,049","46,515",-942,"68,304","330,140","176,333","54,221","76,550","-63,794","12,689","277,257","115,442","-59,673",,542,"3,928","31,668","31,315","9,782","-26,732","3,370","20,646","-39,047",,,,,,,,,,
6/10,"712,901","456,095","35,170","179,894","45,815","177,870","131,360","-26,765","287,667","3,088","171,555","423,144","217,434","189,858","111,390","167,573","41,299","169,713","112,616","117,146",,269,0,"23,473","9,125","-15,421","-34,892","3,012","20,257","-34,855",,,,,,,,,,
7/10,"228,827","123,956","9,730","52,491","12,136","67,041","50,805","-31,641","200,993",760,"52,961","102,503","44,039","86,583","38,177","79,889","12,887","35,594","30,246","54,321",,"1,185","9,812","18,159","4,409","-40,914","-27,082","2,786","14,666","-41,219",,,,,,,,,,
8/10,"153,031","71,881","9,627","54,862","9,685","77,274","56,796","-21,641","71,503","1,828","31,341","51,153","18,382","40,397","32,547","31,313","9,718","45,725","95,855","116,660",,"3,296","59,235","28,509","7,239","-8,483","-19,576","2,757","18,451","-34,794",,,,,,,,,,
9/10,"83,522","42,106","6,341","22,482","3,109","49,916","28,669","-30,923","43,059","2,699","10,640","35,653","12,674","19,832","19,229","15,312","6,311","31,139","35,703","35,651",,287,"15,622","28,342","5,964","19,360","-4,003","2,974","14,447","-23,372",,,,,,,,,,
10/10,"67,793","50,292","6,717","23,412","3,631","48,065","18,759","-8,013","29,084","4,854","6,464","21,681","10,894","23,569","23,371","33,044","8,601","28,582","39,036","115,085",,"6,459","10,340","23,882","15,773","26,258","5,319","2,392","22,523","-10,425",,,,,,,,,,
11/10,"67,202","52,779","4,708","22,452","5,548","58,482","13,449",-120,"34,087",445,"-1,582","26,557","9,855","20,201","24,779","36,212","4,477","15,494","18,914","-5,182",,"1,087",0,"13,313","12,988","-27,377","-26,999","1,425","36,428","-10,577",,,,,,,,,,
12/10,"65,897","51,922","5,434","24,670","4,763","51,788","14,041",-884,"37,518","4,778","4,825","22,899","8,143","30,361","24,797","56,252","4,952","22,072","21,582","21,591",,"4,566",396,"28,955","130,469","70,018","-11,064","1,119","31,557","36,026",,,,,,,,,,
1/11,"52,152","41,473","4,661","18,623","4,239","42,469","11,109","-11,680","29,192","2,847","13,120","23,435","8,234","21,515","25,230","27,778","5,142","14,435","18,429","-27,344",,996,64,"23,733","17,036","19,477","-8,240","1,182","6,373","-41,360",,,,,,,,,,
2/11,"50,405","33,678","3,968","16,883","4,797","32,687","11,442","-41,401","24,513","4,393","8,359","20,576","8,452","30,145","26,793","-9,811","4,826","15,811","20,035","69,609",,"1,103",494,"31,724","10,873","26,076","-12,261","2,103","12,569","-15,226",,,,,,,,,,
3/11,"73,138","42,606","4,639","33,072","8,298","49,910","25,125","-7,148","34,145","10,543","53,666","48,866","50,000","56,293","41,102","26,524","6,104","41,083","22,410","36,923",,"2,452","12,293","27,701","23,268","-5,560","-13,939","2,500","2,763","-46,799",,,,,,,,,,
4/11,"160,064","83,527","7,486","69,614","23,011","114,979","100,284","-49,132","85,883","6,274","61,240","231,224","94,583","67,084","42,691","-51,545","7,139","109,495","25,369","54,165",,"1,678","4,270","37,687","63,622","7,678","-16,889","2,469","16,396","-29,968",,,,,,,,,,
5/11,"483,249","281,517","21,792","149,580","50,886","249,407","194,717","-68,670","173,087","2,445","191,967","553,187","304,511","189,697","104,877","-67,489","33,111","171,375","45,229","-25,091",,977,0,"20,047","75,586","-11,761","-17,629","3,332","13,890","-27,977",,,,,,,,,,
6/11,"1,296,621","739,095","65,095","374,223","103,878","363,112","238,695","32,450","459,705","8,571","328,139","884,088","397,626","479,985","270,737","71,551","128,626","269,260","196,853","-72,820",,455,0,"23,941","24,490","10,547","-20,237","2,780","11,936","-49,124",,,,,,,,,,
7/11,"791,579","456,607","36,652","197,669","48,698","178,334","107,894","-26,677","626,098","28,226","234,408","415,527","139,157","361,811","176,166","286,678","74,476","55,256","96,378","188,999",,384,"1,864","29,288","7,973",-606,"-23,467","2,875","31,559","-43,835",,,,,,,,,,
8/11,"285,789","126,328","11,452","66,476","14,915","83,794","64,379","-23,428","161,314","4,951","60,400","94,535","27,030","76,439","57,262","106,940","22,622","20,177","22,681","13,039",,629,"4,642","31,422","5,217","16,748","-13,294","2,975","21,720","-30,169",,,,,,,,,,
9/11,"127,782","71,046","7,207","34,864","9,384","49,912","42,494","-7,355","56,285","8,019","17,713","47,068","17,427","52,968","34,958","34,963","10,736","21,674","28,031","44,755",,"2,080","14,357","24,819","9,767","7,813","-7,858","2,619","27,791","-19,446",,,,,,,,,,
10/11,"103,488","63,364","7,301","29,494","7,324","44,883","23,016","-7,642","48,668",677,"35,884","33,778","12,626","55,912","37,138","28,541","9,976","54,140","30,801","18,034",,"1,270","1,146","32,096","14,741","7,896","6,873","2,350","28,479","-16,253",,,,,,,,,,
11/11,"83,986","54,176","5,209","23,400","5,803","56,207","13,260","9,048","36,912","6,787","27,727","27,440","10,881","41,704","33,323","20,611","8,386","29,393","27,317","10,787",,687,"1,006","21,910","10,385",618,"-8,940","1,364","36,109","3,205",,,,,,,,,,
12/11,"66,669","43,006","4,071","20,354","5,800","37,452","10,118","11,190","26,107",889,"19,526","22,850","11,346","37,956","27,162","-18,732","5,730","16,701","17,355","2,737",,866,"3,347","27,521","9,955","39,544","-24,629","1,348","26,380","23,704",,,,,,,,,,
1/12,"57,328","38,630","4,006","18,427","6,165","30,171","10,767","14,985","25,682","-7,626","36,717","20,374","10,331","41,732","25,942","7,283","5,793","14,713","16,367","7,857",,"1,373",71,"38,622","9,477","5,562","-24,003","1,330","10,176","-32,979",,,,,,,,,,
2/12,"55,694","32,543","4,104","17,253","5,472","25,745","12,096","6,155","26,115","-10,155","40,217","16,590","8,614","36,449","22,645","23,531","5,833","17,242","15,416","25,861",,"1,021",0,"17,821","9,552","10,334","-20,241","2,494","8,037","-39,841",,,,,,,,,,
3/12,"90,260","48,819","6,247","34,572","10,618","49,825","46,993","5,503","63,170","6,737","49,076","80,775","28,930","40,505","30,804","8,518","7,715","74,314","31,127","21,409",,"1,285","3,064","17,865","12,791","-3,597","-25,785","2,407","5,800","-42,798",,,,,,,,,,
4/12,"155,667","74,511","10,075","48,213","22,198","66,553","101,536","-17,817","96,604","3,256","77,447","154,834","59,030","58,450","41,456",-720,"12,301","151,965","71,182","37,905",,581,"1,738","14,699","8,815","11,799","-27,783","2,559","21,262","-35,293",,,,,,,,,,
5/12,"222,203","142,060","15,452","66,630","19,578","50,646","102,866","-16,189","139,505","6,504","62,173","173,626","63,138","57,261","40,150","8,882","21,255","143,548","48,131","-10,335",,195,0,"18,351","6,235","-13,228","-22,068","2,890","22,822","-16,134",,,,,,,,,,
6/12,"163,864","125,185","8,765","50,715","9,435","69,464","67,878","-29,359","221,148","10,019","28,601","87,468","27,110","38,188","24,105","33,481","17,999","45,507","45,067","35,036",,140,0,"22,591","4,405","-20,809","-30,451","2,921","7,125","-57,608",,,,,,,,,,
7/12,"66,211","78,280","5,979","37,100","11,169","67,525","64,969","-21,870","137,749","9,442","31,237","48,389","17,054","74,500","23,713","1,825","16,360","27,525","38,853","21,983",,"1,154","7,450","17,776","10,744","10,166","-21,988","1,722","44,093","-8,537",,,,,,,,,,
